Country Name,"Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, income, richest 60% (% age 15+)",Financial institution account (% age 15+),Borrowed any money (% age 15+),Used a mobile phone or the internet to pay bills (% age 15+),Owns a debit or credit card (% age 15+)
Albania,-0.9144338442325814,-1.3081414416338362,0.39954725995185036,-3.790525574066991,8.06632728804546
Algeria,-1.734018723215259,-4.753796305835229,-1.1112080326812057,-2.075434696270788,8.500708584810832
Argentina,0.201340138046894,8.32686146235034,0.830078578903299,1.007964225082473,-5.544387774334182
Armenia,-1.4502862836328356,0.9338942788319425,-0.21658386802123064,-1.5812833312544536,2.641848952543063
Australia,1.8255691327957946,2.5266833472390413,0.4789866892404522,4.193186917448557,-11.372442776972747
Austria,2.015665298661715,4.305592422959581,0.10452368254016076,4.423610036618136,-11.34070803230283
Bangladesh,-0.7736232471422122,-6.376617840773315,-2.0215504993952136,-4.032118726210423,14.96631496831954
Belgium,0.8481873005211753,5.447875104294212,1.1838419827541626,4.348384627738007,-10.825231225912344
Benin,-1.0818468942384385,-11.639700738820581,-1.246653764608281,-4.751836335840177,19.97613225731288
Bolivia,-1.1062951167043793,6.004493359194757,-0.26194022492067326,-1.8413951721146393,-2.2689665372062304
Bosnia and Herzegovina,-0.23403988438057066,11.90178447381822,1.1447123605056424,-1.89496834402311,-9.137888058716097
Brazil,0.34414718091922936,6.324487217621145,-0.47949546841507384,2.9245851453980896,-9.838140150449789
Bulgaria,-1.521002332497246,10.864945334202854,-0.5956546812704175,0.3488323764477279,-10.215691271043287
Burkina Faso,-1.5517850060872629,-11.564308102308514,-0.4769141395557668,-4.647777774883108,19.764346785091114
Cambodia,-4.008401705705513,-4.358191979676604,-1.196970197996361,-5.12797495676676,12.363928689040204
Cameroon,-1.3215058452376471,-10.37211234480377,-0.511394465629909,-3.327567753798901,13.552489103865444
Canada,4.1012523292620475,-0.13530143812812057,1.5099077644914125,6.318838913752491,-11.675026466547926
Chile,1.1447971461471749,12.18637423923832,0.43480285277449937,3.9329770123458037,-11.471066797900644
China,0.9479345792814442,5.488525616969847,0.5855946134106587,3.9552869070184773,-8.375733867025678
Colombia,1.0722021713866656,2.597853167664813,-0.04809229621328015,-1.2440637096921274,2.5737708106141017
"Congo, Rep.",-2.4705093722679976,-22.415339819243968,-2.3824093928829946,-3.4964684344255375,22.572295768475296
Costa Rica,-0.9987928346889205,10.406782013114753,-1.6056326539132737,0.7949428872825468,-6.464839203167116
Cote d'Ivoire,0.8913314866301647,-16.489547405019955,-0.47158079479399007,-3.1467989806534282,20.41890209751023
Croatia,1.1472106189123323,8.551112095376848,0.8037960765887826,2.1357775679240962,-7.561248880589013
Czech Republic,0.6924158055216445,10.57323016639638,-1.4734949625632758,2.640132399328218,-14.475137606529142
Dominican Republic,0.6567032838079079,1.1623212718028268,0.7441710507101109,-1.980680317232315,5.572589927497614
Ecuador,-2.5949780348220877,5.069380148719706,-0.9895191852012009,-1.4816463380852212,-0.7096065798972433
"Egypt, Arab Rep.",0.18331003484137298,-12.948638794399535,0.10432147320530483,-3.0974381722017528,13.430923050150078
El Salvador,-1.6561244455079667,-14.97691415426517,2.6057975603890755,-1.689549168378746,20.899530198041063
Estonia,2.0811155155010894,8.959431296138792,0.5168575568271319,5.039001114805481,-13.734892504293516
France,3.7338650206363004,7.192072240285155,0.4554204355336582,2.0822353045744126,-11.887142947355832
Gabon,0.09283341163607339,-11.238543359150377,-0.5207244052295659,-0.9130665418647492,8.739353977128404
Georgia,-0.4354236793465489,9.562027855931468,0.7735080782389678,0.013330689243490568,-4.85905155246999
Germany,1.3883202144964963,3.4964831477308476,-0.2757004174026694,4.527094720158072,-11.771523265633373
Ghana,-0.5962542254959082,-4.0367247245794315,-1.2194828861196951,-3.4471094097714463,9.175448899063289
Greece,0.7541690565047876,8.718626735337631,0.3687035838042245,5.287594398567535,-12.216855869879375
Guinea,-2.3121337096305776,-14.150741747332333,-0.7395053066388382,-3.661738098894368,18.731605411702585
Honduras,0.12414432388682606,-10.63975427948556,1.250815859578129,-2.3352608947784628,18.738589128699292
"Hong Kong SAR, China",1.3734944188018252,0.4489845777362982,2.0372320332014553,6.73891153380427,-9.631927752408306
Hungary,1.3643084968027566,12.78795527892588,1.2158144188973683,2.6696717482990104,-16.32966926473077
Iceland,3.6586891043898913,-0.3844254656232664,1.1583971925301553,5.627655927207288,-12.26376422629479
India,0.5694643469552578,3.238461496608805,1.6912379109511666,-2.012212703358775,0.10658115504479637
Indonesia,0.21115988506102035,0.9573209346814093,-0.5592477591120795,-2.983950516967754,2.333829794398863
Iraq,-1.6928284511620788,-16.461824304167877,0.15189163116516546,-1.9940575459099197,17.225050948673857
Ireland,4.0014110149871485,5.769264607026825,1.8185041186992557,5.503337168145665,-10.145582293458233
Israel,3.397957580357561,2.0642527725916855,1.959143436315081,4.7401898603339365,-9.442560774476839
Italy,2.8221308462063606,6.7522457130866265,1.1324841195825606,1.3603758551086091,-11.029987369266859
Jamaica,-1.227303305377776,9.241590460814095,1.148972509092741,-3.009336622148337,-6.917431603458329
Japan,0.3005098792302139,5.061992119919631,1.247325832106183,1.6913428347813553,-12.107058000544429
Jordan,-1.2441541847645956,-2.8343621766253673,0.8562636736216414,-3.303017259762044,3.4266332807791384
Kazakhstan,0.08191591333459414,7.117575434796084,-1.070269105273101,1.6864855207838074,-9.037687348035687
Kenya,-0.28067926802552745,0.3681117992408882,-0.32312027260226506,1.9139316793429533,0.3939322858086296
"Korea, Rep.",0.13855977606305725,0.7706609458512954,1.5540726105925025,6.385319692857387,-10.276226213118239
