Country Name,"Worried about not having enough money for old age: worried, income, poorest 40% (% age 15+)",Financial institution account (% age 15+),Borrowed any money (% age 15+),Used a mobile phone or the internet to pay bills (% age 15+),Owns a debit or credit card (% age 15+)
Albania,-0.9719329320843687,-0.32857867916549405,1.8654604789346552,-0.43651020547522923,2.7331732849456283
Algeria,0.9363123166862133,-2.8472102098909366,-0.6790107061642994,-4.244379069758589,5.492222087367972
Argentina,0.2553508407263756,4.449515085398767,0.9130667232438583,0.9287911613709614,-1.9118944984878787
Armenia,1.0807400585762037,0.0019580620918067115,-2.3759130015330827,-0.7306685078482338,2.3950214353675734
Australia,1.9703717965498937,1.3519377678605562,-0.8301210354994752,-0.37928169828034486,-5.785745901961398
Austria,1.7598199078116767,2.825491350296116,-0.873488987383888,1.9834218318561856,-6.65334606132513
Bangladesh,-2.188417739894238,-2.6546746972739026,0.7664447116893678,-0.9087109969437397,6.540279363723325
Belgium,3.1502989245294506,2.393011733114725,0.6284475981591866,-0.06341337624642529,-5.2010469380931275
Benin,-0.6738530321624072,-5.931630503236512,0.3690658430099796,-0.47255596887275564,8.116238236878683
Bolivia,-0.7945951402905918,3.838692364245886,1.3292206840765985,-1.7135051077414607,-1.874897043998697
Bosnia and Herzegovina,0.6478654674892574,4.960673233476799,1.8861713720526594,-1.8377170410126729,-3.994125388954357
Brazil,-1.8154573071414193,1.0179985536439988,-0.9084266547333761,2.2067500784894185,-1.2812253287903532
Bulgaria,-0.7582911845345233,2.6096901428626813,0.2536700725084122,-0.0005683545288924785,-3.3129382251684834
Burkina Faso,0.1069001238398215,-6.96318396403771,0.027939767681536054,-0.6909189611723314,8.214868069673951
Cambodia,-5.130464575500662,-0.2031128272419589,0.7289186783134181,-2.0033676246839374,4.168348316537665
Cameroon,0.4782252713726707,-5.160494253967356,-1.1980021077908338,-1.2258708177636284,5.260007310381611
Canada,3.217184990224964,1.379492583788604,-0.8756181471504358,1.1528488445694496,-5.746981844629814
Chile,1.4026803746186092,5.071540258713186,0.9207577302284999,1.9157532022477,-3.3416674393332695
China,1.6160810513593544,3.30932978132468,0.4230487378631991,0.7066168931238033,-3.475503190039684
Colombia,-3.914754315346824,3.688092780410445,2.7983128436846356,0.9031609054317782,1.5007500722462792
"Congo, Rep.",-1.1895484363448805,-13.052620688813729,-1.9306007824236069,-1.969665655657245,10.675116892396293
Costa Rica,-0.21909275121463434,5.095047560513585,-0.954025011370033,0.5549557127234839,-2.4693061448579696
Cote d'Ivoire,1.0874221638940016,-9.171719058911886,0.15818125517751458,-0.9227446207693708,9.68369392897319
Croatia,2.4843934971986847,5.218571098620815,0.11149843540885485,2.4454559788594494,-5.26907617310057
Czech Republic,2.2954119828577433,3.3691513071792714,-0.6588942630637165,-0.2910466793241786,-6.678997070218287
Dominican Republic,0.7587481183447427,2.0773490335595057,2.127516419470368,-0.37425556018206807,2.0625007397759507
Ecuador,-5.2084431042220345,3.436259978264345,1.8859772456772947,-0.34905682926671733,-0.874734598703296
"Egypt, Arab Rep.",0.35672262170774927,-5.992323790766568,0.17392267737808798,-0.8375681566183943,4.240586976347506
El Salvador,2.1661992534683656,-5.493374369562863,-0.5386470404553232,-1.1358857787497072,10.368315847283748
Estonia,4.980390541309635,4.322178019748192,0.6860955027566984,2.130400135146714,-9.30948219655425
France,2.16526133618755,3.7896807543129736,0.37532161175803136,2.4896374423400456,-7.220285803411348
Gabon,0.10323119315965101,-5.634310988717069,-1.0634615264084184,-0.7832361840002564,3.5875379304515445
Georgia,0.10546444950798683,5.5087735280236,1.4045030582988076,0.28507124860226707,-1.9120353613177485
Germany,1.5221953953487377,1.1932827136530455,-1.0494215471098816,1.1051782001367485,-5.414459880412611
Ghana,-3.0511439446029267,0.15776236457225212,1.253584508016889,-1.5457331599593611,3.045129463899429
Greece,-0.25555328293097723,1.8941489002967242,1.8802923813627106,0.8258112494265957,-1.5129452443276916
Guinea,-2.2360233351082117,-5.274197173912322,-0.5263534106907066,-0.91600085444421,6.603965189705429
Honduras,2.4508854342629642,-4.889802630629273,1.082752599045295,-1.6164012249695514,9.545441977202739
"Hong Kong SAR, China",2.8330304968554554,2.0302255783269367,-0.19487344947856,1.4492156172505712,-5.201362446861601
Hungary,4.910647983401937,3.9298012007505463,-2.0209884551054618,2.6939453972611505,-7.825148541194317
Iceland,3.2351268434902627,1.7195907547445337,-0.9479924038361214,0.7488497922905646,-6.500657423188916
India,-4.231978206196823,3.5499815242490302,3.5801150957144166,-1.5192250372794591,2.1604479393426708
Indonesia,-2.3905242178301536,1.0895813285137446,1.0137512535702315,-1.092523365923192,0.039462777515304914
Iraq,0.6511590758762402,-9.861051705356815,0.11214962510797832,-1.7103110229536176,8.103257803324826
Ireland,3.865664787460041,4.72408243663245,1.40867404120333,5.318398526297313,-7.271908095374343
Israel,2.700230658815144,3.202782342300341,-0.8455139927463216,3.0372154159070295,-5.369981882340372
Italy,2.4924415874104295,3.322199425060869,-0.14568357956281197,1.2258278377911909,-5.686288694833334
Jamaica,2.568790195774392,4.854221340235606,-3.0843510060253987,-1.9835122726302274,-3.1901826065402266
Japan,-0.903860675548138,-3.5246317473968283,0.1429432320134314,0.9743754113907221,-0.5660914434186073
Jordan,-0.7634820107633686,0.3123040007608906,-0.5159872520648854,-2.0353247885125354,-0.07016613023667828
Kazakhstan,0.03100179857046026,3.6886888281197776,-0.27967080625361884,-0.1576693715888564,-4.501856152207273
Kenya,-0.6078533977564433,0.9688177403063646,-0.3000035452580737,1.1792944161279693,0.9018921520151157
