Country Name,"Worried about not being able to pay school fees or fees for education: worried, income, richest 60% (% age 15+)",Financial institution account (% age 15+),Borrowed any money (% age 15+),Used a mobile phone or the internet to pay bills (% age 15+),Owns a debit or credit card (% age 15+)
Albania,0.08126920803939752,-0.5258288095394676,0.8231345722938372,-2.317696983085746,5.382097138435139
Algeria,-1.2448929094474748,-2.024164867532483,-0.8802150876848627,-1.397258453719827,3.882097157090035
Argentina,2.07702433099867,6.400903581651704,0.33749019795697066,2.492939359577923,-6.3959043461150635
Armenia,-1.580104710777029,2.264600113308524,-1.60772959608932,0.11577901305061955,1.1012419168750573
Australia,3.313325564058858,0.7721026155007489,-0.9494443003297399,0.566878475729123,-6.416715794108718
Austria,2.357716059380584,0.5150459314983591,-0.2068086621259515,2.23010207677744,-5.119954857402596
Bangladesh,-3.16695130122263,-4.22990576985467,-1.4577763952354106,-2.5718044053919122,13.173172088087373
Belgium,4.031187579456265,4.204919077254093,0.270166797932176,0.27885765669698515,-7.983801761585652
Benin,-2.148907206046946,-8.87294333645276,-0.9264448039469944,-3.260328988306016,16.981326580446872
Bolivia,0.6847187039352249,5.418854193501213,0.13458996567361492,-1.0254839772613304,-4.274823129381156
Bosnia and Herzegovina,2.8632959384703067,6.5522175916720595,0.21919181880617433,-0.29744345611786205,-7.735877330812582
Brazil,0.6657867174359238,3.3418965683436013,-0.09027791213872938,2.130781588698111,-7.030410931872112
Bulgaria,2.3776393657407002,5.908906374374384,-0.4588897559445799,0.8855500512071601,-9.59082932251085
Burkina Faso,-1.8308443933101533,-10.209265838737192,-0.6830292483069709,-2.3554156136287805,15.66440341476488
Cambodia,-3.1741981744747667,-2.330449183129513,-1.2931960827078512,-3.8365495261652125,8.444695308914103
Cameroon,-3.1291831100514385,-5.462900160613577,-1.2057341376549386,-2.0453103239070103,9.959833983361957
Canada,1.9134747884625958,-2.4835070693409156,2.0372279285457466,1.0304137082492715,-3.1756122254721024
Chile,0.8511660252378963,10.682762933391148,0.7137440860673685,3.611160581123169,-9.77918169591231
China,3.9479568245162246,3.8208713768683262,-0.05803835571032945,2.714166747308335,-8.02815593065337
Colombia,0.062228002247814995,3.5930687098707343,0.12344571610357669,-0.06200569275802437,1.4819995390947702
"Congo, Rep.",-2.757290403618498,-19.300056126929874,-2.3194922678387826,-2.536083006721242,18.429058753689315
Costa Rica,0.07621695916326932,7.938269324684215,-1.4482939120496798,1.766983592143283,-6.343496337156205
Cote d'Ivoire,-1.0087589967591999,-13.024478850287998,-0.532076878215058,-1.5445107327250396,17.247455618569372
Croatia,3.089229297595012,5.887945906757965,0.7756570834894161,2.879723447302677,-8.270466062646976
Czech Republic,2.157161059947322,7.001657975362984,-0.23782278503653131,0.7717414770927675,-11.904541016304314
Dominican Republic,0.6840007944943296,2.49664730538485,1.2849345968462638,-1.4856145655811426,3.5122411291017315
Ecuador,-1.069941317795129,4.81507422889698,-0.5546579703082771,-1.9282122303097537,-2.23224241446768
"Egypt, Arab Rep.",-0.5416454145380536,-9.556330726417745,-0.33176105419146396,-1.0634413624858334,9.289993316446314
El Salvador,-1.179812195129987,-10.651917394121842,1.7012641953914631,0.1919395869510252,15.007971986805336
Estonia,2.5135703063438584,8.660476631439622,1.821957250642697,-0.6485598190781809,-9.501781486770238
France,3.44977771366956,3.915179635096882,0.5930144452345045,2.3708912109030926,-8.404677137521947
Gabon,-2.3990043065180204,-7.681294959026662,-0.22319810622144498,-0.7705335577893333,7.188871507400974
Georgia,0.3180053335015245,6.402789599465077,2.583811199295427,-0.23117140220472532,-3.9649829832165366
Germany,-0.40315253827985686,0.17509207206005117,-0.13380417923451304,2.110956219983363,-4.011705159462878
Ghana,-2.487671558555185,-1.4915922625140183,-1.1941559980894345,-2.093674164335607,6.978943698195503
Greece,0.3226839921110125,7.968175944590336,-0.4742852488901752,3.8485894935239173,-8.848212655680772
Guinea,-3.9437369281215116,-8.808946323009222,-0.9235883412445496,-3.6544369266178007,15.183863945355668
Honduras,-0.6362139879317805,-7.517099687836005,1.6429270867880525,-1.2504956820861484,14.83349229938165
"Hong Kong SAR, China",2.458868085288742,-1.316789914262026,1.1394223874604568,2.7338182619058164,-4.269456226521107
