Country Name,Worried about not having enough money for old age: worried (% age 15+),Financial institution account (% age 15+),Borrowed any money (% age 15+),Used a mobile phone or the internet to pay bills (% age 15+),Owns a debit or credit card (% age 15+)
Albania,0.040788612977646466,-0.04711219376515574,1.4051402724293824,-0.3004149113168898,2.1341542619186864
Algeria,1.4175520343924437,-0.506648813601228,-1.1829234654683758,-1.3220730425766045,0.16535580052407495
Argentina,1.112738974060921,3.1054854125464937,0.6232221524280339,1.0440959533007277,-1.3558645566580436
Armenia,0.48044051071709726,0.43558862286088706,-0.5983106799185043,0.41629970540944217,-0.3397907053190562
Australia,1.51296993321656,0.1997071747419975,-1.0673698192093024,-1.1744166841255306,-3.309527709942275
Austria,1.8934540634419759,0.23264573115998866,-1.038765120642874,0.9838757955318517,-3.1439411923809693
Bangladesh,-0.8691227572459079,-1.5680710678126637,0.6120770882810947,-0.048148825093242587,3.5651892484622825
Belgium,2.654755517425303,2.7865529354119114,0.018582532278593522,-2.0662352993294597,-2.6696321678158546
Benin,-1.4335816697360082,-4.068029113113706,1.3054789222594556,-0.0024309926165948514,5.5830296308278875
Bolivia,-1.716332964575028,1.403321686333834,1.5591816210809704,-1.296141120489306,-0.0344245341955558
Bosnia and Herzegovina,1.2742546565823178,3.118346135291304,0.7729480058239109,-1.4575908138578069,-2.054644858398542
Brazil,-0.352939846981283,1.582389240209033,-1.1622320504900365,1.849880834445956,-2.6556761169608656
Bulgaria,-0.29466233817228527,1.779946635770568,0.23222299324002527,-0.09475892048058765,-2.7790619651644066
Burkina Faso,-1.3587339105938754,-4.9362599526214455,1.8517586399383248,0.3888498323966747,5.182195107162933
Cambodia,-6.052827114653311,0.09213857332890818,2.025216970011967,-3.452672184707236,5.088656294184474
Cameroon,-1.172725208586559,-2.9968709804319977,-0.45542920031416845,0.014696331431762744,2.677181285189441
Canada,2.0551807420677166,-0.8752866543647121,0.6340566856013383,0.7898006891057556,-3.4910212014661193
Chile,1.3208548117175685,4.409460569669044,1.2049776440334288,0.8148754307819965,-1.6298117540725574
China,2.263681118506912,2.1810764376510954,-0.14861201075933028,0.5928775441620138,-1.9545546096714412
Colombia,-1.0523731658325273,1.549123405589574,1.9906783685885512,0.6463176426955535,1.7341700542697347
"Congo, Rep.",-1.0267802993600128,-8.855342277126084,-2.775699963661242,0.2678840596000631,5.2016268668361665
Costa Rica,0.5683567745799323,4.943808869073469,-1.9717074208512286,0.29653349332754164,-1.7991943684430662
Cote d'Ivoire,0.0193990531613224,-5.843591539952534,-0.0717495501151606,1.278615548786754,5.596658972689271
Croatia,1.7251229592617823,2.67476322302027,1.0047527421695466,1.3977007970283593,-1.8811081823013112
Czech Republic,1.5708366959189668,3.0844597048105302,-0.6929889306111477,-2.0829398226105122,-3.788703656606387
Dominican Republic,1.1121285415971252,1.5331087472693241,2.4842756125851553,0.03918800514163667,1.5372367649884744
Ecuador,-2.974618357427856,1.3726112410431677,1.4504373721375479,-0.5851613150534742,0.32059453335486854
"Egypt, Arab Rep.",-0.35156158154701256,-4.052270064926177,-0.12882561379551838,-0.21279922644276672,2.432039126122858
El Salvador,1.4830070894261973,-3.5220832841598244,-0.5870524070232892,0.18604177809442124,7.97423778059513
Estonia,4.406162453852012,4.309546447995116,0.6184409159314059,-1.6065502953436441,-4.893719987368023
France,1.9925954664585683,1.3490796046597575,0.41052010824013374,1.262230517738574,-3.474822112841559
Gabon,-0.20208846991894847,-4.823549638181878,0.17164046645135933,-0.7165600878575882,1.6941703191653787
Georgia,-0.2673471720373861,4.916052033817465,0.5726821163275555,0.54132082553572,-0.34125526176909826
Germany,1.6022068563736467,-1.258823395236834,-0.734130053037672,1.4205797916034784,-3.568225913431861
Ghana,-1.1791008330953316,-0.7543194796336178,0.8315905494417398,-0.9828053618240042,2.1868459090595733
Greece,-0.5088516005925836,4.73761448081419,1.8947247578544335,0.15314752262188636,-3.441210251225857
Guinea,-2.3318508631519785,-4.657954146185043,0.6534341270146737,-0.7554986972510562,4.791059617331621
Honduras,2.430114420444971,-2.108601592596594,-0.15428780102453246,0.9920363501803364,5.466106507005087
"Hong Kong SAR, China",2.184791870207194,-0.6965477005740719,0.8026523037032791,1.174871314944098,-2.634824553887298
Hungary,4.915390519622214,2.6196956022561935,-1.8148458227253097,0.9418574194278699,-4.971660741709785
Iceland,1.8333722161783723,-0.3267959641937823,0.18529503937867886,0.22606827018971476,-3.633484521783048
India,0.6752703777728124,1.581328771243641,2.763686503000227,-2.1193539599962206,0.7228234887477871
Indonesia,-3.7538928625678953,0.9691270389286196,0.8896261909403864,-1.305862630297025,1.6548493255368868
Iraq,-0.08829453916460306,-4.839756166711682,-0.5086189246909516,-0.41760941258037976,3.2198260689762317
Ireland,3.7225065935323247,2.661884560744854,0.35726707229003374,3.42784015091633,-2.3215302940916933
Israel,2.1633976899365925,-0.019726266887089672,0.15743697945047108,3.0772055006782617,-2.6426301387505937
Italy,2.3411716376706115,-0.38448319494272454,0.5214188246242877,1.4209698034025182,-2.739806894642478
Jamaica,2.9128071330246694,2.3097455710713577,-2.239609537153825,-1.5557893925207344,-2.201436837371896
Japan,-1.0215432409574734,-0.11906073320919135,-0.06688472356760228,1.4554987863887012,-4.063085054591285
Jordan,-0.5590928140838374,-0.28510565933075105,-0.8067753936552327,-0.7995771620786336,-0.305156730185415
Kazakhstan,-0.9406745667473653,2.720014482404427,-0.4179632922340173,-0.8572792223553501,-1.8842313496221177
Kenya,-1.3733546427584684,0.48156812869707527,0.5506895674248016,1.7295365620892516,0.7590733045723046
