Country Name,"Worried about not having enough money for monthly expenses or bills: worried, income, poorest 40% (% age 15+)",Financial institution account (% age 15+),Borrowed any money (% age 15+),Used a mobile phone or the internet to pay bills (% age 15+),Owns a debit or credit card (% age 15+)
Albania,-0.6399975439254395,-2.7481362322952076,2.065225279522193,-1.9406619256945754,6.523924713176267
Algeria,-2.374824018157038,-4.711132574125463,0.14345074370124156,-2.8385066904892176,7.937445178916036
Argentina,0.13109459665535894,5.852759362649243,0.8135352695372529,1.4464366469387926,-3.3349265571205953
Armenia,-1.2357863048315472,0.9183927308315566,-0.9536350777086462,-1.379777460394216,3.2225714593300765
Australia,3.523294132031225,4.28575443676608,-1.864166516096942,4.0996882773172505,-13.24365791034229
Austria,4.594377643243192,4.1682316407120545,-1.3545241804310253,4.369122210541271,-12.791828277125889
Bangladesh,-2.9242632003248783,-6.360871648567787,0.5885321459286317,-3.7244659666079736,14.05854362064693
Belgium,3.3538858341681017,7.162215279634223,0.31781278768796106,3.8838152563156214,-13.829528227015725
Benin,-2.463276282344456,-11.476309224888382,-0.00041942084933133117,-2.47486930802115,17.647045019398238
Bolivia,-0.7121418433700165,4.7006005711127905,1.1357547740567255,-2.7135697075565424,-1.5092299692859679
Bosnia and Herzegovina,0.3410563667975115,8.290901511468991,0.5569306830014273,-1.0933000481704878,-6.304463919236002
Brazil,-1.1328027993675067,4.883153340949637,-1.3657520747136047,2.1986491287195262,-5.401266843909105
Bulgaria,-2.110733400194159,7.787838385473863,0.06678214871107535,0.11051359354687484,-7.188461803595081
Burkina Faso,0.9527426093823195,-12.333509609372266,-0.15402820918875193,-2.467713094790839,15.283855198342774
Cambodia,-1.3339985560231726,-4.123999826341744,-1.179420060979365,-4.333866289364436,8.619774950115776
Cameroon,-1.1832533305843,-9.755226036996126,-2.014431454316166,-1.3882609579351044,12.403989110485277
Canada,2.4052887767732605,3.0911507091362544,-0.6634287213824912,2.660673780371902,-8.213428088059878
Chile,0.3439026395172924,10.77833721913439,1.4717148445665131,2.560893596046885,-8.920093418827825
China,0.38787919555215566,6.997558820703945,-0.6019682092145446,3.0775444112569055,-7.139327356006688
Colombia,-0.5050162847078723,2.050469487812106,1.599916185911465,-1.8424572606498835,3.6536305090879972
"Congo, Rep.",-4.492442367038485,-18.174469857655616,-1.292378782040558,-3.213396239131958,18.42654490778166
Costa Rica,-0.6980023605600945,7.8371195349447005,-1.1935091396854336,0.5011968537447196,-4.23666796806495
Cote d'Ivoire,-1.6366945067620886,-14.071554655220321,-0.03127282420608424,-1.020517450345638,18.127873843871395
Croatia,4.88472545246212,6.140418160906197,0.8731961189501476,2.9705078359085837,-9.827803289582544
Czech Republic,2.349828699618822,9.426814066429223,-0.3363434870904367,3.080933175697706,-16.01897107221246
Dominican Republic,-0.08970775964962652,0.5997922803186382,3.027094303237134,-2.0199905933231017,4.834608035634204
Ecuador,-1.736959370546323,2.739545688892789,1.2983016951565054,-3.199341957878088,0.10220762915240433
"Egypt, Arab Rep.",-1.0936173071992776,-10.67081866207069,2.345467189510055,-1.9962425425203278,9.11869827029404
El Salvador,-2.0979181033220407,-10.381405160424816,0.7869983865249575,-2.152574307343663,18.67781785789288
Estonia,7.241430353644976,7.698964047458654,0.9297578374643578,6.856452453394834,-19.757482416426186
France,4.924713562391414,5.462826851267675,0.6159073684025822,3.292863619464238,-12.738832394061895
Gabon,-2.42121693937799,-10.169762507166414,-2.6003745500723516,0.6110696154612052,10.69858332257824
Georgia,-0.2529034803955321,6.001549581448973,1.9603341877491554,-1.2397390819386014,-1.3951601622853316
Germany,2.8048023741673322,4.1826118732155795,-1.9097301849065853,3.2030310672433564,-10.880660057730449
Ghana,-1.371542888329711,-3.4865849333033037,-0.8110717523535733,-1.8294646817469737,7.303574927514714
Greece,-1.0467758149657396,7.175022526426133,1.6815858311812626,4.726688416396756,-9.610953294931114
Guinea,-1.447653523589544,-12.428595124373881,-3.039045011017068,-1.771252423170525,16.390454013561786
Honduras,-1.3913134195538595,-8.293643754766396,1.8052131115984782,-1.5883351723189403,16.859822116548024
"Hong Kong SAR, China",2.0096284568163627,3.936675316809735,-0.8180604626016343,2.2648795418758345,-6.482207781456487
Hungary,5.975366199137106,7.684115675089709,-0.8143083634195207,3.606207733586203,-14.749031483471994
Iceland,2.5190019183857704,3.122656616981387,-1.6274509566124133,4.081544035952129,-9.75451419317216
India,-1.596264020517984,2.8562713346307653,3.3007726365296506,-4.045167607795762,2.7556755258767156
Indonesia,-0.5215887467598015,-0.1524100375747255,1.346787245959336,-2.887924012057931,2.2450298537100384
Iraq,-1.4763502705787523,-13.643058933838049,-0.9223489571200094,-1.476539251426928,14.905238066232823
Ireland,9.01725815540797,5.0536440604821475,1.4479288373594574,5.895325520840387,-13.443009274684204
Israel,2.943919944371637,3.428955870439556,0.09808411110328841,2.0116702025016657,-5.67508510635792
Italy,5.938470887905642,3.82846687340375,1.276782876640664,1.0719553617891497,-10.93368424562614
Jamaica,0.7127699080078234,4.66291035476795,-0.5045123995831455,-1.7165218243316662,-3.983733324961894
Japan,1.0539569549677874,2.9530320548065236,-1.2908893621445954,0.4088181974915761,-6.905954334919142
Jordan,-1.4538967701441514,-1.2326632420778,0.5063141352942866,-3.493290384891617,2.427806699745193
Kazakhstan,-3.5216403794282436,7.196470418347083,0.05957542558941853,1.585792003718466,-6.6346759050564215
Kenya,-0.8429031325998046,0.8583528535735769,-1.9301608849872056,2.236185905845608,1.817020064799262
