Country Name,"Worried about not being able to pay school fees or fees for education: worried, income, poorest 40% (% age 15+)",Financial institution account (% age 15+),Borrowed any money (% age 15+),Used a mobile phone or the internet to pay bills (% age 15+),Owns a debit or credit card (% age 15+)
Albania,-0.4276651785630173,-0.13736390443917712,1.5635389786075617,-0.5646195352732688,3.206526187572992
Algeria,-0.6028761640334732,-1.6949449625903026,-1.444908201893698,-1.3964602596203197,3.4006883106337065
Argentina,0.23358156392072305,4.4682971990815705,0.03939036321463796,1.620918878174317,-1.6137953082619436
Armenia,-1.60222078020866,2.0529117615967096,-1.6939748427839456,-1.0352527336156547,2.619959532084585
Australia,4.449671715530984,0.9518384773741113,-0.8561175546593391,1.4047392589385437,-8.159454795590074
Austria,4.626187706264288,1.3004803041525648,-0.9865586823432007,1.7739761003566827,-6.802793175827254
Bangladesh,-4.014165350117821,-3.6679822809423532,1.3787967452074534,-2.0111675223820598,9.87985591536274
Belgium,5.017931090938964,3.7033306058596525,0.8308335000900957,0.3224682125946501,-8.730310470996331
Benin,-2.6717036471902116,-5.693172690319014,1.4148191495042304,-1.3700002286828727,9.56850025195561
Bolivia,-0.8304517986000652,3.2166179022623442,0.6332977898880032,-0.8071082439696383,-1.397356402648695
Bosnia and Herzegovina,0.8963439590083535,3.9410018824576243,0.8046937236187905,-0.04857870455812652,-3.839961567625412
Brazil,0.030581343142438877,1.6385955740089533,-1.443967691332697,1.8217604835579786,-2.966053645601761
Bulgaria,0.1344777080644377,2.956170049409227,0.5115993338865468,0.13967485258280532,-4.975213919723446
Burkina Faso,-2.1993953408632647,-6.176917585304188,1.594780850173641,-1.2480484449343119,8.473936784563426
Cambodia,-3.7872823698874813,-1.0321293169955026,-0.17952972445006576,-2.5987287238437604,5.548836162568627
Cameroon,-2.482422162405518,-3.591854187017243,-0.08036517073442262,-1.7254971127001282,6.023999516183045
Canada,3.742724820487088,1.41675342996089,-0.43729718475699597,1.2602586898121033,-6.994024469156278
Chile,1.2738644800879149,5.21378603938861,1.577056962279423,2.7202135305935373,-4.721293727128785
China,1.974390603293978,2.8411362332853036,0.8597161038762575,1.7169678637868864,-5.087874094549578
Colombia,-2.2718586737736572,2.3985916734238852,1.2550949536502745,0.04163179650651028,3.299986029859429
"Congo, Rep.",-3.2995487551625047,-12.260997264856929,-1.7624916204079906,-1.3066763946864164,10.050584974087586
Costa Rica,-0.3761568372848121,5.68722122810385,-1.223866813328887,0.8529886376361993,-3.073324394557643
Cote d'Ivoire,-1.8471578770645678,-8.868650704030212,1.7781602430896961,-0.6217633516139829,11.000421374982587
Croatia,4.460334358326638,4.656342709434423,1.4338354679523926,0.8946442854697318,-6.446852489571349
Czech Republic,4.639935477085931,6.029282256123487,-0.859669468642033,-1.1505162303737473,-10.727634964017632
Dominican Republic,-0.18359042611418874,2.144860882493581,2.4848924634868164,-0.5988745731228904,2.723145705928999
Ecuador,-2.6363088412694307,2.6666467091008843,0.9341455914505221,-1.417906890401064,-0.023828428318771966
"Egypt, Arab Rep.",-3.5769418135914086,-4.854007103804834,1.6270474120528022,-0.3377241992531652,4.997433200788851
El Salvador,3.701046177498468,-7.889414940104519,-0.014197655711340573,-0.7060972271822654,10.316699024827233
Estonia,4.446396651263845,6.0345911656021105,1.195482362041835,0.07342339714283685,-9.231578418763768
France,4.149395742484792,2.522572070857712,0.7727699912451258,0.47279777037004234,-6.688453731838583
Gabon,-2.4820529128968465,-6.420008456621294,-0.713735899153777,0.2292556427236585,5.531042129500102
Georgia,-1.4877079464313172,6.030490806728157,1.2067528934025846,0.19829442190629853,-0.8591903201625826
Germany,1.7514376773476403,0.06413462186736862,-1.021369721556733,1.6830476413973938,-4.4213241250899165
Ghana,-3.1208579421670795,-1.3177228678118516,0.406763880509712,-2.1336403440120337,5.417791311260619
Greece,-0.29946680393683067,3.952043619726749,0.8493407765079395,3.9039857030251994,-5.594554361964779
Guinea,-4.293024670537864,-4.770872323217784,0.3131794332738149,-2.223297294871716,8.608786752667726
Honduras,1.7370841211549872,-4.710761379984598,0.6925794870945996,-0.1407533186665455,9.360692913688851
"Hong Kong SAR, China",1.933428548342917,1.6874701384849997,-0.6843071863836201,2.5856486474612206,-4.742436248465516
Hungary,1.9785475110019037,6.107340238888328,-2.4885597085660427,3.3932245230537106,-7.18751067523028
Iceland,4.630247489681665,1.0481509337782438,-0.4008045395576181,1.1845377544538636,-7.8650628992962694
India,-3.2228360817301027,3.1490101446752474,3.218470854381691,-3.1458327912129924,3.4280670049470303
Indonesia,-2.2158110927645263,0.6930935528950702,0.692371174564355,-1.554834753101405,1.2137237008721682
Iraq,-0.5606229693831368,-8.06608810315752,-0.4687187231456793,-0.5942795512531065,7.08176710662557
Ireland,7.434199194346386,2.6306123491046147,0.5513887071123023,2.9509049458547,-7.186763937160993
Israel,1.4011596328189455,1.5831370622129217,1.417988892539645,1.6087677823455113,-3.2435504202987335
Italy,4.70318104995217,1.0912785971165437,-0.06233974518578789,0.26901911085374497,-5.02130375489909
Jamaica,0.6096530291573803,4.594671899436898,-2.0454246412297072,-1.5113368214793512,-2.303286457208669
Japan,1.626811180092957,-1.9625128685898672,-1.0345061548095154,0.5327770132661038,-2.906712242963842
Jordan,-2.397481446082498,0.21608771995333775,0.0980841913382775,-1.7940963586346128,1.6344270254152047
Kazakhstan,-0.3134930617271796,3.8190046709388756,0.6654985293891542,0.05198075159669302,-5.5678542701459115
Kenya,-1.122059024129183,-0.43977823752349643,-0.9062577099006756,1.2274559840742663,3.28689335306169
