Country Name,"Worried about not having enough money for monthly expenses or bills: worried, income, richest 60% (% age 15+)",Financial institution account (% age 15+),Borrowed any money (% age 15+),Used a mobile phone or the internet to pay bills (% age 15+),Owns a debit or credit card (% age 15+)
Albania,-0.9553713945672875,-2.8831940122151343,0.3753076098453103,0.5156106578765622,6.175661752475397
Algeria,-1.910930888584538,-4.585260473624895,-1.013003251973096,-0.7926042747022022,6.852916353813276
Argentina,0.044200572237740765,7.555455435003464,-0.14513342681979768,1.5876309876552446,-4.251305595212794
Armenia,-1.109922372386434,1.520248239895916,-2.349296861289259,-0.8354933553343122,3.0271904229231383
Australia,4.247418858405281,5.360178936410818,-0.13212065363327063,-0.45731963188593117,-12.959573498526542
Austria,4.389871773620806,5.83476375984644,-0.6013419147952037,1.7015209210170497,-12.157143482237103
Bangladesh,-3.0428514543837935,-7.828148705250754,-1.4623114118392255,-2.282135972779326,16.38390800226398
Belgium,7.379029749487854,9.744258890831631,-0.12421485520357223,-0.8376887253817706,-15.334438693427696
Benin,-2.1861896942299275,-14.171855226039966,-0.2809287490482859,-1.2441845467211614,19.425521280224007
Bolivia,-2.5980369473785956,5.2157273624380265,0.3450042516286742,-0.49568877628063124,-1.761200243226496
Bosnia and Herzegovina,1.5092167052866072,7.837550720381601,0.8128338852130597,-0.6643610026326066,-7.790638311023679
Brazil,-1.1038087894484025,7.310191847631286,-1.2699493627713752,2.678773751329733,-8.324550158894915
Bulgaria,1.841465002716948,8.359124261291353,-0.23186785047614222,-0.7570177308070543,-10.284998128355188
Burkina Faso,-0.601734313166304,-15.73096343012004,0.32620621180006104,-0.2759240511236918,17.495146642238304
Cambodia,-3.5830031753584226,-5.059814522263171,-1.3579031050821397,-2.7942562579625063,10.737542002254399
Cameroon,-2.15332963747972,-11.065831031939323,-1.3279818519798727,-1.7693004122378442,14.321406711740469
Canada,0.5367580227969135,3.269747801330255,3.757422345676174,1.6801348274755092,-10.100725145979993
Chile,1.582109061785637,13.132361247255993,0.706154996474524,2.6002761180079856,-11.806328696581271
China,3.172417783055563,7.757609668603087,-0.38879374415476065,2.017400694385759,-9.859895838747644
Colombia,-1.388138017315077,2.06288306866424,-0.23906995904418166,0.2494846217261003,4.200689605366501
"Congo, Rep.",-3.633366900114737,-24.282709810719634,-1.894693928442507,-1.4147930041720116,22.6988934733643
Costa Rica,-0.6819965771396967,9.207599887054993,-1.4160556496955357,0.7760126277237012,-5.634935141833228
Cote d'Ivoire,-1.132818684254838,-19.182520601705875,0.8589344742885814,-0.7212721579935977,21.560613752619695
Croatia,2.794156003771082,9.3625442309093,1.0668043706184918,1.208155995332362,-9.43522760077029
Czech Republic,4.11905744143653,12.748274423299698,-0.928854553219586,-0.27084144489630724,-17.76961174553374
Dominican Republic,-2.076820710000658,0.5374484828011783,1.4868227166503625,-0.07187815196652425,6.377105981465038
Ecuador,-4.126818411730584,3.9259289483033486,-0.44558122386221427,-0.5385019182715456,0.20392187950808083
"Egypt, Arab Rep.",-1.9902353363097642,-14.028225818762998,0.7837848324589984,1.3248380800266375,11.60843863390249
El Salvador,-2.8134817940264334,-15.578678932533707,3.4869150725393556,-1.3607668893936609,20.773118672030506
Estonia,9.660052625015325,13.333571305821007,0.6466780427655188,-1.6039915620823173,-19.192244279818713
France,4.088095307484005,8.485606563684389,0.4645214877388204,0.6618752692238088,-12.304063767216258
Gabon,-1.895965544462916,-13.224346697465148,-0.7181071560464982,-0.23940036855996016,12.131022416284878
Georgia,-3.688609418641545,7.2780267270057095,1.8280108160681685,1.8506003672128069,-2.259411802620366
Germany,1.9825158005366363,4.343321837884474,-0.3747263428541956,1.8023598020145801,-10.365298516036429
Ghana,-2.0658024180083103,-4.559966250043705,-1.5644666557057718,-1.3729463363233938,9.306125341888649
Greece,2.190548708476875,10.841092301630285,0.3430283353225043,1.9439765579160895,-12.33852488680013
Guinea,-2.5841567670451138,-15.561098769660681,-1.136238468872417,-1.470252518701738,18.526965668357583
Honduras,-1.6211791747821627,-11.886023410953095,1.8086268981330313,-0.9065913517914383,19.882813859778754
"Hong Kong SAR, China",0.41560683677137433,3.5689697267902307,1.8947301910286534,4.017160051318234,-8.99940360064106
Hungary,4.260201627226792,11.970994929793434,0.8665666426081504,2.0374553315105217,-17.477564651413573
Iceland,1.1075428242436525,3.3324252894352977,4.00834879730103,0.6316622433826797,-10.870911435541657
India,-2.4829707027269996,3.3675731690862842,2.748590134803842,-2.605067592328798,2.5224369766435495
Indonesia,-3.159145499982208,0.24399225097189037,-0.15404873035662825,-1.2127239632438247,2.8459041375204115
Iraq,-1.2481609778693041,-16.674634476972113,-0.8988820570340295,0.17872118739656617,16.16696562326316
Ireland,7.945487677203083,7.8632387598917965,0.9951261285468576,2.990828441355042,-11.952337198775894
Israel,1.8550028658779256,3.3384915539987983,2.6301974176927354,2.338730212323063,-7.414353901842001
Italy,6.8612528439079234,5.049371365098703,-0.08353050378779336,0.15176818103958212,-10.890240159816269
Jamaica,-1.5053386209626158,8.122889068387787,0.9741637354977173,-2.812406963061507,-5.4469525026595385
Japan,1.7978638327603766,1.4789214153326538,-0.7188641989651956,0.765556077259496,-7.091634339617799
Jordan,-2.622421996173647,-1.8756645223118849,-0.08849916994163376,-1.1287987893099904,3.467985815485316
Kazakhstan,-0.5870796676361003,8.927081689862526,-1.2249964611394475,0.9190709208344416,-9.331593403212903
Kenya,-1.3253844007401914,-1.7284825089716858,-0.3410303841498732,1.892926623957115,3.635337548066079
