Country Name,"Worried about not having enough money for old age: worried, income, richest 60% (% age 15+)",Financial institution account (% age 15+),Borrowed any money (% age 15+),Used a mobile phone or the internet to pay bills (% age 15+),Owns a debit or credit card (% age 15+)
Albania,0.3883171587432639,0.9423201545513509,1.3520919384145296,-0.6932706124582161,1.4079402341945637
Algeria,2.5028312821073646,-0.3629115282129842,-1.4867860596016058,-3.8221698865008635,1.9454252362722038
Argentina,1.7153367011574838,3.629258927200856,0.5251102062918993,1.265028232484628,-2.8090752635259237
Armenia,0.9126767228978578,1.7681082596608215,-0.9181306875750311,-0.04175050969353089,-1.4123080455742878
Australia,1.8311236747488338,-1.9724007232933332,-1.7165414619216368,-0.30681430399548504,-1.5475065040365004
Austria,1.8931633523732723,-1.9355174010256646,-1.268250441751333,0.6487726009188547,-0.4080101318107813
Bangladesh,-1.4735027725938632,-1.0919068832355079,0.31304566735991757,-0.48292095948587477,4.454937251630763
Belgium,2.6339446530404302,0.6091627780474256,-0.043271793639851897,0.1313729062548401,-2.47751568490413
Benin,-3.152258607741612,-3.837736500300777,1.6247111223313313,-0.5217322657521755,6.97201728636563
Bolivia,-2.619481594542457,1.9503157375710052,1.270760921792169,-0.1681063385624556,-1.5518538556035764
Bosnia and Herzegovina,1.8931968176797258,3.215607065906169,0.4217499976400183,-0.29813152889457806,-3.843082424158575
Brazil,0.48210471981716707,1.404459074286887,-0.9237593792391918,0.7831643949552427,-2.666659799158195
Bulgaria,0.4125724448557142,1.8660942160525975,0.25433720733131104,0.2993881520823898,-3.780774394886963
Burkina Faso,-4.015306462226185,-3.682826583632114,2.4502882999820805,-0.004973633819435275,6.539579388037626
Cambodia,-7.2711446271092814,0.9808620734805737,1.6074089308538593,-1.2830075124336933,3.5864017221810336
Cameroon,-1.8463506977903634,-2.3367841336407853,-0.032550265428386904,-0.4792447709627181,2.762716871814874
Canada,2.1072548685203225,-3.3214508927666255,-0.3242708994957512,1.8069379038550124,-1.0780303118596941
Chile,2.3966132027786937,3.7643950386973115,1.561145394718463,2.0961078860835203,-3.667306996221007
China,2.366956922592385,1.843786673518292,-0.17016124949971667,1.6483424518181176,-2.822227139506147
Colombia,-0.5558317471672987,2.368775721406501,1.569874497975686,1.4324233873655627,-0.3081170665145647
"Congo, Rep.",-1.6593642847813364,-9.69529034500812,-2.3003389566702364,-3.181877744706675,8.76914847434853
Costa Rica,1.1468742038990554,5.129200764985276,-0.8996422381954243,1.0167852207559243,-4.283034237216407
Cote d'Ivoire,-0.8317187966686137,-5.5100789701288955,0.09534261140288525,-0.1689215136847766,7.540129878346558
Croatia,2.042286717594144,1.617779831454155,1.4034202269569747,2.0285482829876416,-2.791200546606418
Czech Republic,1.9336149390376942,2.3881722252528563,-0.0996327160314947,0.9952271752736026,-7.048047804354323
Dominican Republic,0.6601740645665428,2.3465940113933064,2.558953308963412,0.5660954810236376,0.5302759908815444
Ecuador,-1.7626575920442429,2.383528385530531,1.4849453617269561,0.4370232739675908,-1.129322020592419
"Egypt, Arab Rep.",0.895452121610711,-4.343184263503808,-0.5053043021160484,-1.376681733870337,3.01729499175544
El Salvador,1.2238856843517345,-3.641889442816367,-0.20644753171902863,-3.2371454086663825,11.167146809985521
Estonia,3.065707100618127,3.151736763787369,0.7164849787825922,2.873397089471533,-6.895307657218567
France,1.87239636350278,0.9794607068646801,0.6192007265067412,1.4166436605192292,-2.8763414340625104
Gabon,-0.4361748897590001,-2.0546367210373537,-2.3317439858205917,0.2910144776083574,0.6416839173911866
Georgia,-1.0297492495223457,5.127801927914098,1.0272215894397894,0.9339049786441045,-0.9369029073767372
Germany,1.605253663253213,-2.6330389290876752,-0.9500303529778398,-0.08960382338385975,-0.5015935605305684
Ghana,-1.3267275396205533,-0.09121266203992506,0.2894987222036684,-0.0037664755508614034,1.015733017544175
Greece,-0.6317304179142718,4.221372433798154,1.6134360654758138,0.14742915657654665,-2.52919624943065
Guinea,-3.0410555482329507,-4.750056838259448,1.1794366475251055,-1.3105789962922927,5.230172377888618
Honduras,0.48413844690233265,-1.9657260825311187,0.6945347148630956,-1.569268508682617,8.494311404239248
"Hong Kong SAR, China",2.39385571470395,-2.4359021229152744,0.5946222839329651,1.1576288904757446,-0.8201313197764211
Hungary,5.05808557439693,2.691638819479264,-1.1565911316587139,2.7015808651042255,-7.622405156402359
Iceland,1.8299426862894692,-3.2625041488593705,-0.6310406637465957,0.8980498352356957,-0.5704392103417031
India,1.235197850219505,2.239133875976399,2.5418846829041044,-0.0728128062411697,-2.4179719659772685
Indonesia,-3.64393421706274,1.8781582803949588,0.5965609003571997,-0.5652740018975158,0.5936723125436141
Iraq,-0.2223306800360687,-4.843822436878271,-0.5427433430441089,-1.1197745420890124,4.224704945343168
Ireland,3.8902728446312573,0.4818002796137648,0.7507045779511818,2.595487187009332,-0.02820272844388949
Israel,2.5116694360482414,-1.4838634997231597,0.658534391611628,1.7331644109744184,-0.6738098079472254
Italy,1.6037300515748631,-0.7624059888127795,0.20483300138206872,0.6457751562125416,-0.6010290793246802
Jamaica,3.1257750741584123,2.8668879105901786,-1.9839292020267396,-1.1135192407863317,-3.7379447397727175
Japan,-2.24620380098569,-0.34064455951550354,0.5794929761412587,0.6263145572924804,-2.3988537925100437
Jordan,-0.4710741147201106,0.20473918403664998,-0.5355237692932552,0.00649859415345988,-2.0966136594128435
Kazakhstan,-0.056187973763723864,2.6588354266810397,0.09422659127652677,-0.36218590816073015,-3.6304583144015856
Kenya,-1.3327740311366263,2.1390568295886268,-0.22875870200298776,2.7530502264080194,-1.245577144787796
