"Worried about not having enough money for monthly expenses or bills: worried, income, richest 60% (% age 15+)","Financial institution account, income, richest 60% (% ages 15+)","Borrowed any money, income, richest 60% (% ages 15+)","Used a mobile phone or the internet to pay bills, income, richest 60% (% ages 15+)","Owns a debit or credit card, income, richest 60% (% ages 15+)"
0.6505713760852814,0.554087221622467,0.37644270062446594,0.05004126578569412,0.34729626774787903
0.6167023777961731,0.5217190980911255,0.32798635959625244,0.0448787547647953,0.2994871437549591
0.671021431684494,0.7143905758857727,0.5123239159584045,0.39864856004714966,0.626736581325531
0.5581755340099335,0.6009452939033508,0.5794817805290222,0.2505752444267273,0.2644398510456085
0.23306375741958618,1.0,0.7190231084823608,0.8193863034248352,0.9913046956062317
0.28676658868789673,0.9991790652275085,0.677682101726532,0.6334315538406372,0.9730375409126282
0.7868712842464447,0.4051404297351837,0.4422924816608429,0.12369459122419357,0.057533834129571915
0.24642741680145264,0.997174859046936,0.5889326930046082,0.7968099117279053,0.9905463457107544
0.7338802218437195,0.2687491178512573,0.4806823134422302,0.0885317251086235,0.07502277195453644
0.7672652900218964,0.7585484385490417,0.5131929516792297,0.19002948701381683,0.5502125024795532
0.4585304856300354,0.8401309847831726,0.41814473271369934,0.17802900075912476,0.7044155597686768
0.7093867361545563,0.8488500714302063,0.6337403059005737,0.5323682427406311,0.7296239733695984
0.38707154989242554,0.9068571329116821,0.43772566318511963,0.3927997350692749,0.8024734258651733
0.6468036472797394,0.26374033093452454,0.4957931339740753,0.1242528036236763,0.11511335521936417
0.8254421204328537,0.3941107392311096,0.5522459149360657,0.04066373407840729,0.21863149106502533
0.7396186292171478,0.2964320778846741,0.6146507263183594,0.15792718529701233,0.10772670060396194
0.26963889598846436,0.9980955123901367,0.8987684845924377,0.7982692718505859,0.9892212152481079
0.6405278444290161,0.8748208284378052,0.45294779539108276,0.5244434475898743,0.811941385269165
0.38540875911712646,0.9246062636375427,0.5695328712463379,0.6515540480613708,0.8468130826950073
0.7621679902076721,0.6391770839691162,0.5450057983398438,0.2681659162044525,0.40458038449287415
0.7192572951316833,0.2371818721294403,0.4425587058067322,0.11897305399179459,0.13065940141677856
0.6566972136497498,0.7592783570289612,0.40512391924858093,0.4117034077644348,0.6431503891944885
0.686866044998169,0.24407246708869934,0.45165199041366577,0.19559220969676971,0.10811146348714828
0.40151119232177734,0.9668934941291809,0.5196052193641663,0.5368749499320984,0.7958677411079407
0.34748125076293945,0.9498682022094727,0.4216301739215851,0.7271816730499268,0.9065749049186707
0.7792395949363708,0.5789433121681213,0.49820587038993835,0.1210145652294159,0.404631644487381
0.8123248070478439,0.6750941872596741,0.5256396532058716,0.2207072228193283,0.45057234168052673
0.7153267562389374,0.30299583077430725,0.39016860723495483,0.021436572074890137,0.2594637870788574
0.7141003608703613,0.3847481310367584,0.3184952139854431,0.12222220748662949,0.19526124000549316
0.20176160335540771,0.9932227730751038,0.5204776525497437,0.881533682346344,0.9785107374191284
0.33959633111953735,0.9980545043945312,0.5188007354736328,0.43928512930870056,0.912202775478363
0.6198750734329224,0.33806687593460083,0.5641309022903442,0.4428982734680176,0.18212397396564484
0.8919313922524452,0.758172333240509,0.40711238980293274,0.3179321885108948,0.5373155474662781
0.3845248222351074,1.0,0.6814733147621155,0.5494523644447327,0.9752401113510132
0.7477833032608032,0.4878576099872589,0.522603452205658,0.13857142627239227,0.25517788529396057
