"Worried about not having enough money for old age: worried, income, poorest 40% (% age 15+)","Financial institution account, income, poorest 40% (% ages 15+)","Borrowed any money, income, poorest 40% (% ages 15+)","Used a mobile phone or the internet to pay bills, income, poorest 40% (% ages 15+)","Owns a debit or credit card, income, poorest 40% (% ages 15+)"
0.8770039901137352,0.27265602350234985,0.5027408003807068,0.04661951959133148,0.15613071620464325
0.6585996747016907,0.3190588355064392,0.4482860565185547,0.021832436323165894,0.14578382670879364
0.7875465601682663,0.5852886438369751,0.5206157565116882,0.20897090435028076,0.4702484607696533
0.7093090713024139,0.40443500876426697,0.5634752511978149,0.11956997215747833,0.15285123884677887
0.6174249947071075,0.9830455183982849,0.596274733543396,0.6992051601409912,0.9412825107574463
0.5454646348953247,1.0,0.583687424659729,0.589011549949646,0.9835089445114136
0.8682254105806351,0.3344246745109558,0.4898752272129059,0.07752719521522522,0.03707713261246681
0.6267856359481812,0.9793588519096375,0.5235973000526428,0.7598403096199036,0.9298185706138611
0.8513728976249695,0.19149929285049438,0.45853790640830994,0.046519774943590164,0.04481607675552368
0.859222412109375,0.5594138503074646,0.43347159028053284,0.061820972710847855,0.2996627986431122
0.8223468959331512,0.7229466438293457,0.4205652177333832,0.06646440923213959,0.4897947609424591
0.882549449801445,0.8157469630241394,0.5181403160095215,0.2668173015117645,0.6585580110549927
0.8062848001718521,0.7386661767959595,0.5377143621444702,0.19708234071731567,0.6001376509666443
0.8075638711452484,0.1303405612707138,0.46552228927612305,0.0591229684650898,0.06689735502004623
0.939761858433485,0.22371633350849152,0.5472195148468018,0.0007432625279761851,0.04170737415552139
0.7767893970012665,0.14340713620185852,0.5419350266456604,0.05253861844539642,0.03811591863632202
0.5978299975395203,0.9937212467193604,0.8049795031547546,0.6898737549781799,0.964284360408783
0.7462296485900879,0.8642882108688354,0.41277867555618286,0.5019834041595459,0.7617926597595215
0.6787365972995758,0.8308147192001343,0.5385196805000305,0.5236308574676514,0.6683881878852844
