"Worried about not having enough money for monthly expenses or bills: worried, income, poorest 40% (% age 15+)","Financial institution account, income, poorest 40% (% ages 15+)","Borrowed any money, income, poorest 40% (% ages 15+)","Used a mobile phone or the internet to pay bills, income, poorest 40% (% ages 15+)","Owns a debit or credit card, income, poorest 40% (% ages 15+)"
0.8560947626829147,0.27265602350234985,0.5027408003807068,0.04661951959133148,0.15613071620464325
0.7538701146841049,0.3190588355064392,0.4482860565185547,0.021832436323165894,0.14578382670879364
0.8605041205883026,0.5852886438369751,0.5206157565116882,0.20897090435028076,0.4702484607696533
0.8124095797538757,0.40443500876426697,0.5634752511978149,0.11956997215747833,0.15285123884677887
0.3964778780937195,0.9830455183982849,0.596274733543396,0.6992051601409912,0.9412825107574463
0.39417874813079834,1.0,0.583687424659729,0.589011549949646,0.9835089445114136
0.8769565895199776,0.3344246745109558,0.4898752272129059,0.07752719521522522,0.03707713261246681
0.48348844051361084,0.9793588519096375,0.5235973000526428,0.7598403096199036,0.9298185706138611
0.7181971371173859,0.19149929285049438,0.45853790640830994,0.046519774943590164,0.04481607675552368
0.8443276286125183,0.5594138503074646,0.43347159028053284,0.061820972710847855,0.2996627986431122
0.7190026938915253,0.7229466438293457,0.4205652177333832,0.06646440923213959,0.4897947609424591
0.8847519531846046,0.8157469630241394,0.5181403160095215,0.2668173015117645,0.6585580110549927
0.7654792219400406,0.7386661767959595,0.5377143621444702,0.19708234071731567,0.6001376509666443
0.6139402389526367,0.1303405612707138,0.46552228927612305,0.0591229684650898,0.06689735502004623
0.919057697057724,0.22371633350849152,0.5472195148468018,0.0007432625279761851,0.04170737415552139
0.7110010087490082,0.14340713620185852,0.5419350266456604,0.05253861844539642,0.03811591863632202
0.4570603370666504,0.9937212467193604,0.8049795031547546,0.6898737549781799,0.964284360408783
0.6981493532657623,0.8642882108688354,0.41277867555618286,0.5019834041595459,0.7617926597595215
0.6414050757884979,0.8308147192001343,0.5385196805000305,0.5236308574676514,0.6683881878852844
0.9325364083051682,0.4397794306278229,0.3883671164512634,0.07612502574920654,0.15418799221515656
0.7148838937282562,0.09727801382541656,0.375725656747818,0.06858676671981812,0.04027862101793289
0.8542368710041046,0.5723413825035095,0.33687931299209595,0.19910208880901337,0.3696344792842865
0.6973065137863159,0.14816251397132874,0.47666841745376587,0.183519184589386,0.04767618700861931
0.43831998109817505,0.8445939421653748,0.3832262456417084,0.26956871151924133,0.6221286654472351
0.5150733590126038,0.9486143589019775,0.40778329968452454,0.6722111105918884,0.8880612850189209
0.8482051491737366,0.37003570795059204,0.3799290060997009,0.038003165274858475,0.15569278597831726
0.9185105562210083,0.5914971232414246,0.388619601726532,0.08586250245571136,0.29943740367889404
0.9195959344506264,0.1977628618478775,0.5761764049530029,0.00403299555182457,0.16387775540351868
0.8142003118991852,0.19020123779773712,0.2674335241317749,0.018535716459155083,0.08079136162996292
0.3214973211288452,0.9945825934410095,0.389726847410202,0.8110235333442688,0.9610453844070435
0.45712852478027344,0.984015703201294,0.5362696051597595,0.4327123165130615,0.8944736123085022
0.6974732279777527,0.18076686561107635,0.5808156132698059,0.36035066843032837,0.07973728328943253
0.9366377666592598,0.6244555711746216,0.39765048027038574,0.15745940804481506,0.343797892332077
0.46301066875457764,0.9994111061096191,0.6365587115287781,0.6120757460594177,0.9671525955200195
0.8069449812173843,0.24756482243537903,0.5212514400482178,0.04459725692868233,0.05502671003341675
0.8553262799978256,0.9164217710494995,0.47689440846443176,0.5557963252067566,0.7474557161331177
0.8056066036224365,0.12113934010267258,0.5232282876968384,0.03819335252046585,0.020996488630771637
0.7860513627529144,0.23718872666358948,0.29159650206565857,0.07683190703392029,0.06724511831998825
0.5650947690010071,0.9646307826042175,0.5604023933410645,0.4616214632987976,0.7756035327911377
0.4465280771255493,0.8124547004699707,0.25235655903816223,0.4502348005771637,0.6991187334060669
0.3822718858718872,1.0,0.8429443836212158,0.7453791499137878,0.9930799007415771
0.919190064072609,0.7814803123474121,0.43022435903549194,0.04174037277698517,0.1642744094133377
0.8755100220441818,0.4491405487060547,0.4276425242424011,0.051260773092508316,0.25693395733833313
0.7724241763353348,0.1163875013589859,0.563835620880127,0.055401261895895004,0.08583452552556992
0.30049455165863037,0.9928684234619141,0.6483583450317383,0.6260854601860046,0.9450877904891968
0.5107554793357849,0.8902403116226196,0.7634944915771484,0.358450323343277,0.7925001978874207
0.35978466272354126,0.9479102492332458,0.5506168007850647,0.343766987323761,0.8204628825187683
0.6860869824886322,0.6678677201271057,0.21765093505382538,0.056366756558418274,0.3771362602710724
0.6245481967926025,0.9846760630607605,0.5475206971168518,0.2742004692554474,0.8630574941635132
0.9001385420560837,0.31757408380508423,0.5761731266975403,0.054933205246925354,0.20510604977607727
0.7602744847536087,0.8208333253860474,0.5059841871261597,0.44362616539001465,0.6455289125442505
0.8256684839725494,0.35594120621681213,0.7154608368873596,0.331248015165329,0.13993655145168304
0.6386457979679108,0.968873918056488,0.6229499578475952,0.4681680202484131,0.8232646584510803
0.8597023487091064,0.5186514854431152,0.39897704124450684,0.0739181786775589,0.3424271047115326
0.636214405298233,0.4092221260070801,0.41259637475013733,0.04410278797149658,0.2625964879989624
0.7473128736019135,0.22804667055606842,0.38842469453811646,0.033374153077602386,0.11639182269573212
0.5180899202823639,0.9405581951141357,0.4063190519809723,0.7116441130638123,0.8433225154876709
0.9671269096434116,0.12854856252670288,0.3907715976238251,0.0008853868930600584,0.08934397250413895
0.903066523373127,0.24388714134693146,0.5432124733924866,0.0722053200006485,0.08626247942447662
0.988606003113091,0.14523756504058838,0.5014427304267883,0.042711690068244934,0.04148149862885475
0.7924413681030273,0.829814612865448,0.2819388508796692,0.24600043892860413,0.7872923612594604
0.9270044639706612,0.2717112898826599,0.459855318069458,0.055717647075653076,0.11790353804826736
0.5294166803359985,0.9334516525268555,0.3757213354110718,0.3416633903980255,0.8312767744064331
0.8296209424734116,0.9031612873077393,0.41866371035575867,0.09810774773359299,0.7971571087837219
