Country Name,Worried about not being able to pay for medical costs in case of a serious illness or accident: not worried at all (% age 15+),Worried about not being able to pay school fees or fees for education: not worried at all (% age 15+),Worried about not having enough money for old age: not worried at all (% age 15+),Worried about not having enough money for monthly expenses or bills: not worried at all (% age 15+),"Worried about not being able to pay for medical costs in case of a serious illness or accident: not worried at all, income, poorest 40% (% ages 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: not worried at all, income, richest 60% (% ages 15+)","Worried about not being able to pay school fees or fees for education: not worried at all, income, poorest 40% (% ages 15+)","Worried about not being able to pay school fees or fees for education: not worried at all, income, richest 60% (% ages 15+)","Worried about not having enough money for old age: not worried at all, income, poorest 40% (% ages 15+)","Worried about not having enough money for old age: not worried at all, income, richest 60% (% ages 15+)","Worried about not having enough money for monthly expenses or bills: not worried at all, income, poorest 40% (% ages 15+)","Worried about not having enough money for monthly expenses or bills: not worried at all, income, richest 60% (% ages 15+)","Worried about not having enough money for old age: worried, richest (% age 15+)","Worried about not having enough money for old age: worried, poorest (% age 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, richest (% age 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, poorest (% age 15+)","Worried about not having enough money for monthly expenses or bills: worried, richest (% age 15+)","Worried about not having enough money for monthly expenses or bills: worried, poorest (% age 15+)","Worried about not being able to pay school fees or fees for education: worried, richest (% age 15+)","Worried about not being able to pay school fees or fees for education: worried, poorest (% age 15+)",Worried about not having enough money for old age: worried (% age 15+),Worried about not being able to pay for medical costs in case of a serious illness or accident: worried (% age 15+),Worried about not having enough money for monthly expenses or bills: worried (% age 15+),Worried about not being able to pay school fees or fees for education: worried (% age 15+)
Albania,7.503967816752318,0.7220308948411822,-3.851038294904367,1.1186981084482248,13.698140837305,5.013011510055076,1.8449256644758876,-0.4389488731494988,-14.371393587949216,-0.8158360427323226,0.6209634941113391,0.9470851073638951,-0.5130619543847939,15.94908594387243,-2.2324449615280084,-19.531751620241167,-0.7615793729887876,0.4144511713782353,1.0707799557280588,0.9877825087123191,3.903432316338519,-7.934094043897657,-0.49527178921508375,0.6353156488076439
Algeria,0.7730445998540465,0.6886989869988076,5.751438519161605,0.2384027991390673,4.6951319705921835,-0.17246794369774832,1.8581224626913504,2.0271172865744935,15.501441795335205,0.6070854931174734,0.051905351702300484,0.7248017742477686,1.1309210848098885,-27.822512107912733,0.0,-1.9208970667526186,0.24326137834826755,0.1653290134848855,1.1631374484322867,0.5535031881118366,-8.289145985977045,0.1394918228417601,0.17067458831638516,0.5101038362946662
Argentina,-2.8690203709394897,0.5632358252624439,-0.3353565009761909,1.2019573589129275,1.197131613922288,-3.622417251504564,0.3345946091253441,1.5557352694731756,-3.5856880627153918,0.2019846286700735,-0.15912108660811317,1.2814563354590234,0.9867788559866213,3.8359437273517694,-0.4540597741536392,-1.1251966959730422,-1.1056000929402883,0.3805373112676329,0.25253748889129646,0.29209671406540816,1.425878147184865,0.6098805240936418,-0.8279221629404155,0.39772175015733147
Armenia,-0.8485696206438189,0.7845550546408591,6.734740277788418,0.02245515698457856,2.301182975635706,-1.272426766186804,2.170875459369013,-0.7015231170503242,9.552498986663673,0.7636331442417849,0.0,-1.539566946705231,0.5716693066223986,-10.726106942743824,0.31275331828291164,-3.477412542837004,0.2553390174778271,0.24424944684896993,0.5294494573663882,1.0415372060691985,-6.746766279880304,0.11502919816428145,0.0918906017197374,0.4634980343341082
Australia,-9.287801110743231,-1.1208984265536057,7.493043954721356,-3.3408396314129165,-16.012143297054784,-5.763447827080135,-6.26080142738587,3.1868482892880747,13.770440922626833,1.593441948626087,-1.5310287111006815,-5.081792297954383,1.391434199309519,-13.399595332649913,2.8346010261065633,18.939270339547218,2.794632366471597,-1.770414952497024,1.4541639203523444,0.09756233184787977,-4.419364281168191,8.511549504165817,1.8778620452567774,0.45729548544371124
Austria,-6.640356606744244,0.6053003198303908,6.780141576012859,-2.745926266637576,-12.690273394110502,-3.7329004511850252,-4.043343178648385,2.718624513349029,22.006351698663007,0.9876526099880585,-0.32399788493977777,-4.0958439750590525,0.810832214156528,-31.56911733860463,2.3123698307634495,25.61153298441817,2.1325471818902213,-1.4729559680970783,0.7325321096666365,-0.4014279198920491,-8.08914283532777,8.598977893490204,1.9321774933086306,0.0
Bangladesh,5.728701795972407,-0.4500847255285252,-5.713427838749765,2.975925624483197,12.129003845958954,3.4851681949588347,3.203541396969577,-2.2255512016918284,-14.360457921233703,-0.9438345721506305,0.41815648971445163,4.447087416293562,-0.8980393485252207,17.739810695105966,-1.5451859251150446,-16.29683333566205,-2.0827650950872414,0.49172341595700875,-0.39464010349876455,-1.3775313516512646,5.103088786956624,-5.553507698572188,-1.0978151214187162,-0.9046265147952979
Belgium,-8.588865626902624,-0.5545854182697276,6.755855056366651,-3.0403712501181435,-15.320513250765705,-4.540234864612065,-5.720321551774812,3.221799012974215,13.717889455747933,1.4577689060415766,-1.0726980250223836,-5.248678929874675,1.5856463797026414,-12.630923827304029,2.807924555646013,17.71008970911164,2.863241055680541,-1.18819222856513,1.7979532445320876,0.4278234043781019,-3.656124377904126,8.111976750390788,1.7600743755353092,0.536163119174647
Benin,7.267821882862648,-0.2611726970629098,-7.081598022845667,1.0201895123595495,8.882630387732151,5.6776478692916905,2.866197035174748,-3.819337794838942,-10.83170121757544,-1.186894338536186,0.31941718018876397,2.958431444955286,-1.689220214884041,10.234843596567403,-0.6467483647304344,-8.034329559266412,-1.0388104881059228,0.2267977177795646,-1.4724636486016687,-1.1789537264178223,4.969682032405261,-4.583935414105976,0.0820639463300783,-1.1378603511432672
Bolivia,7.243240721120624,-0.2969150380792538,-8.441462872492586,2.5562767344650332,11.470726228673733,5.1428277783531,-0.14630371362110495,0.5497033688572792,-13.710618633386451,-1.1740739282969788,0.46707341044285955,3.6442088107837427,-2.4656081379810098,12.70889868063134,-0.23870569976226275,-12.563593556910478,-2.001423143615631,0.7322712221517693,-0.45998919605856603,-1.1135604441298481,5.967299816317216,-4.705459551608753,-1.0856373549539553,-1.0303207795761553
