Country Name,Worried about not having enough money for monthly expenses or bills: worried (% age 15+),"Worried about not having enough money for monthly expenses or bills: worried, income, richest 60% (% age 15+)","Worried about not having enough money for monthly expenses or bills: worried, income, poorest 40% (% age 15+)",Worried about not being able to pay for medical costs in case of a serious illness or accident: worried (% age 15+),"Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, income, richest 60% (% age 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, income, poorest 40% (% age 15+)",Worried about not having enough money for old age: worried (% age 15+),"Worried about not having enough money for old age: worried, income, richest 60% (% age 15+)","Worried about not having enough money for old age: worried, income, poorest 40% (% age 15+)",Worried about not being able to pay school fees or fees for education: worried (% age 15+),"Worried about not being able to pay school fees or fees for education: worried, income, richest 60% (% age 15+)","Worried about not being able to pay school fees or fees for education: worried, income, poorest 40% (% age 15+)"
Albania,-1.8738268823312547,-0.14716964147924982,1.8679743890936835,-0.59071211654578,-0.6089414432126237,-1.091527819451147,0.5563163658146264,1.158126294337233,-0.7752689101361865,0.6382621489764766,2.2996331645915755,0.017429900363783002
Algeria,-2.837873149657848,-0.974496087976922,-0.33192935987031946,-1.7772074731533052,-0.9037401760713197,-0.20716351126600907,-3.057508960324189,-1.502383647881326,-0.176053497785849,-2.7890280746614495,-0.29478645835406336,-1.5927555575393804
Argentina,-0.5273080243367327,0.09641058275291314,-0.6400522915424118,-1.8786192910388673,-0.4173219475162586,-1.8939628365483925,-0.27244199761558807,-1.1191939158689994,0.020469868147110937,-1.4288815946250457,-1.157072057787385,-1.1011103388810044
Armenia,-3.248789050934752,-1.06176277377984,-1.0063600770241683,-1.7526233400889453,-1.149076852652592,-1.9662997158137614,-2.795652229323956,-0.6194481050096059,-2.1072637410087607,-1.8151180005213599,-1.0724141614407054,-3.1062488330920432
Australia,5.540401005954114,1.502831774395566,1.2523500055706074,2.4585630527002156,1.457833047777104,1.1688609432070436,0.715547605129375,-1.262163366329757,3.6243240074314835,4.891506275894195,0.290051364139825,6.239087829455484
Austria,6.356807507330991,1.8719651221694265,1.3918482794547327,1.6429339347774405,0.6897171590364977,1.4508257345394462,-0.19096254534660861,-1.3331973337409302,4.422520099833238,1.5176682514782058,-1.8883170567365961,4.6662279343957005
Bangladesh,-2.9379547864959443,-0.6307706067995138,-0.4844950192974222,-0.6905426522401279,-0.28003255718389086,-3.3108054501272326,-0.2960736494392613,0.11815240916621761,-2.594728853376721,-3.0485189856097596,-1.8858765425817055,-3.4784067348310357
Belgium,4.45297779300274,1.1085629265356576,1.0070940731282088,1.1472844845133974,1.2012290605866252,0.7664405093900375,0.2707794443239546,-1.8521649671777913,3.359213145101685,3.0742745550733135,-0.5563909614448317,5.929137640556074
Benin,-2.132213183693327,-0.6970104820177876,-1.8346947458780498,-1.0044562616990405,-0.45365920405768634,0.35081501925438063,-0.19128627353025873,0.5559278203171871,-2.0812062517660026,-0.6457995038681732,0.759050271150195,-2.437661332843498
Bolivia,-1.4716136616483695,-1.1653557573713393,0.9877251392157291,0.20863346800663418,-0.5305888887704355,0.16273686093431206,0.023923310549964327,1.1110808296945076,-0.13373416071405475,-1.921836160193875,0.16458603419264572,-0.8566797342241035
Bosnia and Herzegovina,0.8914971150356754,1.6267829657628403,-0.21571203768355396,-3.0796816390956208,-0.4118036688964075,-1.5295215491336047,-0.38513605280237684,-2.408324653265293,-0.8603964654534493,3.489720281625785,0.3574428691245206,-1.4025194487166979
Brazil,-1.548536652113663,-0.9432393010532136,-0.3041583748927339,-1.3720545153158374,-0.5894938141963069,0.10124028409146923,-1.211246781370873,-1.4710871570184914,-0.8365931420524904,-3.584493619067526,-2.6754764502669115,-2.385687203902838
Bulgaria,0.8075199011952598,0.4784568190568006,-0.5224013543250712,-2.1346250469860584,-1.3704811215850956,-0.7143267940803057,-1.5853746934393929,-1.229538799150407,-0.5217684728294056,0.016120290124947978,0.12877776196318047,-1.972390460779759
Burkina Faso,-1.346659678611414,0.5514056286909521,-0.1412163613685542,-0.8744835787995573,-0.05162892234060923,0.9849268918438381,0.7548242258509008,2.2380780108924503,-0.7246432000908074,0.13299510487624122,1.613087241445271,-2.622112360293077
Cambodia,-4.793018904309556,-2.3827388097091324,-1.2638643810065808,-3.146278505710331,-2.5836531745564306,-3.0685348523046043,-3.114336541965562,-1.0017675727572217,-5.227473048285326,0.17951681175769485,0.8979233362161319,-0.6332082151237253
