Country Name,max,min,mean
Algeria,0.7502429306056464,-4.4884168255175965,-1.4597876028835226
Argentina,4.005972456586456,-1.9345991207840083,1.2371218403746633
Armenia,3.04396096879638,-2.57560296381541,0.10881967840441321
Australia,6.648917882634035,-5.84560439974528,-0.8295212519686048
Austria,6.336282575396001,-2.62601044794672,0.3282923324190381
Bangladesh,5.03292498765605,-4.299557282343612,0.4051219515726254
Belgium,6.296715386158794,-5.103569704416243,-0.13056580190762856
Benin,9.692432799051629,-6.203039747218561,0.27999137568251875
Bolivia,5.491107258760239,-5.309230411872448,0.3379748524158721
Bosnia and Herzegovina,2.415675058823528,-1.7488322095741458,0.38856922507817904
Brazil,3.448860164623378,-4.887405081230006,-0.1723803529830108
Bulgaria,1.4130563969305192,-1.7109188309687753,-0.25217023173235675
Cameroon,5.235940507820404,-3.647918169065123,-0.43496979757485305
Canada,6.842151880064929,-3.856622308897875,-0.25965816861857993
Chile,0.0226875605424038,-0.0845746617395577,-0.037312275815014374
Colombia,7.934368791438987,-10.213083270849012,1.2244997391784902
"Congo, Rep.",-0.5147322683908655,-3.22420274650588,-2.151366661556892
Costa Rica,2.5967108597327484,-1.801843067159084,0.20401818423337215
Cote d'Ivoire,4.1706467647246095,-2.207391246208145,0.31642220685069367
Croatia,5.828984547481816,-1.2503322320853691,1.151468719476524
Cyprus,1.3148799574519443,-0.6323922567736939,0.13988046024866202
Czech Republic,4.575600232165518,-5.952686163612815,-0.472139001305502
Dominican Republic,3.313550326177462,-1.5228368112160175,1.3624526368297958
"Egypt, Arab Rep.",1.2325436297075965,-2.410223549726766,-0.4007481751927102
El Salvador,3.3174944634385346,-0.8047271281418511,1.3713829866230522
Estonia,4.685607657049879,-2.396269703828847,0.711961870910105
Finland,7.425270817053505,-5.369238903722321,-0.46128355936130205
France,8.898754071586504,-5.529526719254894,0.39692713372460187
Gabon,1.4317197590015958,-2.857370200383083,-0.8910409160317814
Germany,5.197149944140432,-8.46165469157102,-0.8032785421719719
Ghana,7.5112086271673935,-5.873835050568977,-0.05330638086018878
Greece,7.8330157946821375,-5.732509433201974,0.7257728834741966
Guinea,9.128635690372478,-8.753766244071977,-0.40733272782335384
Honduras,3.827554945736023,-0.3322090900097751,1.5201525440954584
"Hong Kong SAR, China",2.305364674515756,-0.4539188403676439,0.4239927445709863
Hungary,7.698186654315969,-4.954225633634104,0.39819787293618436
Iceland,7.022721016958196,-4.000562020311797,-0.3992245805135757
India,5.398055104089808,-6.029440416026822,0.4980583876016471
Indonesia,8.962327763991212,-9.712943025294226,0.6537881069563101
Iraq,0.6699489623933914,-2.531541181981552,-0.6145981165303431
Ireland,8.92481574309264,-2.4499955272919864,1.8291381810293323
Israel,5.340048414574054,-4.656514035145492,0.6969094304187728
Italy,5.779070667949154,-4.6046995688211245,0.25935650328667803
Jamaica,2.9061493903750955,-2.715760001873608,-0.18950722964589883
Japan,5.467776705603942,-8.022512677340172,-0.9186379726113885
Jordan,2.0563587780494053,-4.271496972497987,-1.0179508451034687
Kazakhstan,0.9229065434464384,-2.443073522586827,-0.35435193502601564
Kenya,5.733715700001548,-5.186653441007063,0.13822023201035383
"Korea, Rep.",4.6587392134811925,-3.9059999567309194,-0.3470065326134777
Kosovo,2.251884489143848,0.0905329790725852,0.8941442730423228
Kyrgyz Republic,0.6648197001183161,-1.6172978519610857,-0.44426818624416065
Lao PDR,1.1825521779488757,-5.139053872043771,-0.7170591995742461
Latvia,4.059071291354712,-3.344820886931466,-0.16985440668674157
Lithuania,8.33956134642236,-6.023535109816933,-0.07872211637178239
Malaysia,0.6530913825579363,-4.551867831550563,-1.0240496906412162
Malta,2.4820217540520337,-0.5780534919189313,0.8718850483539171
Mauritius,4.742124941737254,-3.206084161463247,-0.1193277959452782
Moldova,2.3935604297510777,1.4288225505720629,2.080691954013611
Morocco,2.1761039168449843,-1.19004017897402,0.4731699107646441
Mozambique,6.648887905068577,-12.274518480993832,-0.6519174443044524
Myanmar,-0.6865991563744789,-16.30111038407227,-5.7732522505385475
Namibia,2.136860351660752,-3.059256654870508,-0.43201968961287396
Nepal,0.9048645403295178,-0.6059800726902016,-0.10538667249866895
Netherlands,6.594650668451177,-4.411429072473196,0.027933714692589984
New Zealand,6.284864221565762,-3.329657841135859,-0.27098415764495565
Nicaragua,2.0361365797704605,-0.2015876238906209,1.1652376502661177
Nigeria,3.9759477907010408,-5.703261629510335,-0.47646437112448536
North Macedonia,0.1793012901620166,-1.559876850573005,-0.3220382480079707
Pakistan,4.093850943872444,-3.539090441138626,0.4249835029432725
Panama,5.16736260702469,0.436867093884258,2.4919820580864736
Paraguay,1.951699349589364,-4.174020674371261,-0.2663933843922157
Poland,1.6224358474830134,-1.057185681592167,0.09487626765471127
Portugal,1.5825692140729362,-1.0317385520225844,-0.1356530375705669
Romania,2.5045823261600577,-1.7180040836912935,0.12417625866966067
Russian Federation,1.3972621448096247,-2.429471766248351,-0.1056263852362833
Saudi Arabia,2.3362763351838183,-2.8588691965224444,-0.5241360175054515
Serbia,3.852834647084449,-2.4436843471516307,0.5110411517620187
Singapore,3.115211960556441,-1.5681054702554147,0.5646837303279791
Slovak Republic,1.549369158092111,-2.8782778616589426,-0.09204656454007054
Slovenia,3.490471370330446,-3.4141210165379365,0.7022724752649178
South Africa,3.127780974729069,-1.3671547059633422,0.07072857691439588
Spain,3.944559637865499,-11.506444826779616,-2.168745235672178
Sri Lanka,2.767719138344053,-4.74151812326698,-0.38343076421110833
Switzerland,6.577710224450763,-4.74858618472207,0.13470107191616876
